ts_code,trade_time,open,high,low,close,vol,amount
001288.SZ,2026-05-06 09:30:00,28.11,28.39,28.1,28.11,4000,112700.0
001288.SZ,2026-05-06 09:31:00,28.11,28.25,28.08,28.2,51500,1451394.0
001288.SZ,2026-05-06 09:32:00,28.23,28.23,28.01,28.04,45000,1264723.0
001288.SZ,2026-05-06 09:33:00,27.98,27.98,27.78,27.86,121200,3379532.0
001288.SZ,2026-05-06 09:34:00,27.81,27.91,27.78,27.9,39100,1088412.0
001288.SZ,2026-05-06 09:35:00,27.83,27.96,27.83,27.88,31300,873123.0
001288.SZ,2026-05-06 09:36:00,27.88,27.92,27.86,27.86,31900,889673.0
001288.SZ,2026-05-06 09:37:00,27.9,27.9,27.86,27.86,15100,420900.0
001288.SZ,2026-05-06 09:38:00,27.91,27.97,27.9,27.92,24200,675539.0
001288.SZ,2026-05-06 09:39:00,27.95,27.95,27.89,27.9,18900,527519.0
001288.SZ,2026-05-06 09:40:00,27.91,27.99,27.87,27.91,57120,1593289.6
001288.SZ,2026-05-06 09:41:00,27.95,28.04,27.92,28.0,18100,506662.0
001288.SZ,2026-05-06 09:42:00,28.0,28.1,28.0,28.03,45300,1270436.0
001288.SZ,2026-05-06 09:43:00,28.05,28.07,27.98,27.98,16200,453850.0
001288.SZ,2026-05-06 09:44:00,27.95,27.95,27.88,27.93,28200,787132.0
001288.SZ,2026-05-06 09:45:00,27.91,27.98,27.91,27.94,12200,340961.0
001288.SZ,2026-05-06 09:46:00,27.91,28.01,27.91,28.01,23600,660094.0
001288.SZ,2026-05-06 09:47:00,27.94,28.0,27.94,28.0,49000,1370417.0
001288.SZ,2026-05-06 09:48:00,27.98,27.99,27.94,27.99,20200,564798.0
001288.SZ,2026-05-06 09:49:00,27.99,28.06,27.96,28.06,14200,397523.0
001288.SZ,2026-05-06 09:50:00,28.06,28.15,28.06,28.12,17800,500282.0
001288.SZ,2026-05-06 09:51:00,28.12,28.18,28.12,28.14,13000,366047.0
001288.SZ,2026-05-06 09:52:00,28.16,28.17,28.14,28.14,10500,295628.0
001288.SZ,2026-05-06 09:53:00,28.13,28.15,28.13,28.15,1600,45025.0
001288.SZ,2026-05-06 09:54:00,28.1,28.17,28.09,28.14,70700,1988728.0
001288.SZ,2026-05-06 09:55:00,28.1,28.1,28.06,28.06,2900,81460.0
001288.SZ,2026-05-06 09:56:00,28.03,28.1,28.03,28.08,3100,87036.0
001288.SZ,2026-05-06 09:57:00,28.06,28.1,28.06,28.1,15100,424250.0
001288.SZ,2026-05-06 09:58:00,28.09,28.11,28.06,28.09,7000,196603.0
001288.SZ,2026-05-06 09:59:00,28.09,28.11,28.06,28.06,15200,426928.0
001288.SZ,2026-05-06 10:00:00,28.03,28.03,28.02,28.02,18800,527212.0
001288.SZ,2026-05-06 10:01:00,28.0,28.04,28.0,28.03,4400,123326.0
001288.SZ,2026-05-06 10:02:00,28.03,28.05,28.02,28.04,13200,370029.0
001288.SZ,2026-05-06 10:03:00,28.06,28.06,28.04,28.05,14400,403867.0
001288.SZ,2026-05-06 10:04:00,28.03,28.04,28.01,28.03,12700,355970.0
001288.SZ,2026-05-06 10:05:00,28.01,28.09,28.01,28.09,17140,480595.0
001288.SZ,2026-05-06 10:06:00,28.09,28.14,28.08,28.1,7100,199611.0
001288.SZ,2026-05-06 10:07:00,28.09,28.12,28.09,28.12,12900,362457.0
001288.SZ,2026-05-06 10:08:00,28.11,28.2,28.11,28.18,38900,1095755.0
001288.SZ,2026-05-06 10:09:00,28.22,28.26,28.2,28.2,43400,1225682.0
001288.SZ,2026-05-06 10:10:00,28.23,28.23,28.21,28.22,4800,135417.0
001288.SZ,2026-05-06 10:11:00,28.18,28.21,28.18,28.2,11700,329780.0
001288.SZ,2026-05-06 10:12:00,28.23,28.24,28.22,28.22,14000,395151.0
001288.SZ,2026-05-06 10:13:00,28.22,28.22,28.18,28.18,11700,329932.0
001288.SZ,2026-05-06 10:14:00,28.16,28.17,28.15,28.16,13500,380270.0
001288.SZ,2026-05-06 10:15:00,28.15,28.16,28.13,28.13,12600,354578.0
001288.SZ,2026-05-06 10:16:00,28.13,28.14,28.11,28.13,23800,669648.0
001288.SZ,2026-05-06 10:17:00,28.14,28.16,28.14,28.16,5700,160425.0
001288.SZ,2026-05-06 10:18:00,28.16,28.16,28.11,28.11,3300,92831.0
001288.SZ,2026-05-06 10:19:00,28.11,28.12,28.1,28.11,22500,632587.0
001288.SZ,2026-05-06 10:20:00,28.11,28.14,28.11,28.14,2500,70304.0
001288.SZ,2026-05-06 10:21:00,28.12,28.12,28.1,28.11,14700,413169.0
001288.SZ,2026-05-06 10:22:00,28.1,28.11,28.07,28.07,40900,1149281.0
001288.SZ,2026-05-06 10:23:00,28.07,28.11,28.05,28.11,13500,379052.0
001288.SZ,2026-05-06 10:24:00,28.1,28.11,28.1,28.11,2100,59016.0
001288.SZ,2026-05-06 10:25:00,28.1,28.12,28.1,28.12,12700,356935.0
001288.SZ,2026-05-06 10:26:00,28.12,28.12,28.11,28.11,3800,106814.0
001288.SZ,2026-05-06 10:27:00,28.11,28.11,28.05,28.05,42500,1193475.0
001288.SZ,2026-05-06 10:28:00,28.05,28.06,28.02,28.06,82800,2321240.0
001288.SZ,2026-05-06 10:29:00,28.04,28.07,28.04,28.07,5400,151571.0
001288.SZ,2026-05-06 10:30:00,28.07,28.08,28.05,28.07,19800,555763.0
001288.SZ,2026-05-06 10:31:00,28.08,28.09,28.07,28.08,17000,477060.0
001288.SZ,2026-05-06 10:32:00,28.09,28.1,28.08,28.09,2300,64609.0
001288.SZ,2026-05-06 10:33:00,28.1,28.12,28.1,28.12,3100,87133.0
001288.SZ,2026-05-06 10:34:00,28.12,28.12,28.11,28.12,1100,30924.0
001288.SZ,2026-05-06 10:35:00,28.11,28.11,28.11,28.11,1100,30922.0
001288.SZ,2026-05-06 10:36:00,28.11,28.11,28.08,28.08,9800,275423.0
001288.SZ,2026-05-06 10:37:00,28.09,28.13,28.09,28.13,19000,533847.0
001288.SZ,2026-05-06 10:38:00,28.13,28.13,28.12,28.13,1000,28127.0
001288.SZ,2026-05-06 10:39:00,28.12,28.12,28.11,28.12,4640,130472.8
001288.SZ,2026-05-06 10:40:00,28.12,28.12,28.11,28.12,3460,97294.2
001288.SZ,2026-05-06 10:41:00,28.11,28.11,28.09,28.09,3300,92733.0
001288.SZ,2026-05-06 10:42:00,28.1,28.1,28.1,28.1,4900,137692.0
001288.SZ,2026-05-06 10:43:00,28.09,28.1,28.09,28.1,5600,157329.0
001288.SZ,2026-05-06 10:44:00,28.09,28.1,28.09,28.1,2400,67436.0
001288.SZ,2026-05-06 10:45:00,28.11,28.12,28.1,28.11,6900,193938.0
001288.SZ,2026-05-06 10:46:00,28.11,28.11,28.1,28.1,5200,146112.0
001288.SZ,2026-05-06 10:47:00,28.11,28.13,28.1,28.13,15800,444207.0
001288.SZ,2026-05-06 10:48:00,28.14,28.14,28.13,28.14,3500,98480.0
001288.SZ,2026-05-06 10:49:00,28.13,28.13,28.11,28.11,4800,134961.0
001288.SZ,2026-05-06 10:50:00,28.11,28.11,28.09,28.11,3600,101176.0
001288.SZ,2026-05-06 10:51:00,28.1,28.11,28.1,28.11,6500,182710.0
001288.SZ,2026-05-06 10:52:00,28.12,28.12,28.09,28.09,3100,87115.0
001288.SZ,2026-05-06 10:53:00,28.08,28.08,28.07,28.08,11200,314494.0
001288.SZ,2026-05-06 10:54:00,28.07,28.08,28.07,28.08,2000,56151.0
001288.SZ,2026-05-06 10:55:00,28.07,28.08,28.05,28.08,8900,249805.0
